procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 169116  62232 1783316    0    0    48   180 11104 18531 28 22 48  1  0  0
 2  0      0 172692  62312 1783316    0    0     0   356 5622 7738  6  8 84  2  0  0
 0  1      0 167020  62344 1783344    0    0     0   408 9161 14339 26 24 40 10  0  0
 2  0      0 168168  62416 1783572    0    0   248   340 9096 13453 24 22 48  5  0  0
 3  0      0 199476  62548 1783644    0    0     0   656 9018 11503 11 17 69  3  0  0
 4  0      0 179796  62596 1783692    0    0     0   268 9423 14538 24 24 51  1  0  0
 6  0      0 154132  62604 1783696    0    0     0   160 8833 13541 22 15 62  1  0  0
 0  0      0 187232  62620 1783704    0    0     0   120 6489 9585  8 10 81  1  0  0
 0  0      0 168628  62628 1783708    0    0     0    92 9192 16259 26 23 50  1  0  0
 3  0      0 133348  62660 1783636    0    0     0   308 8014 12157 20 19 56  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 164660  62676 1783660    0    0     0   140 7367 11107 10 11 79  1  0  0
 1  0      0 188388  62676 1783664    0    0     0    56 7862 12201 22 18 60  0  0  0
 6  0      0 158912  62692 1783672    0    0     0   104 9223 14282 24 18 57  1  0  0
 0  0      0 174788  62692 1783676    0    0     0    72 6232 8801  7 10 83  1  0  0
 1  0      0 173896  62716 1783736    0    0     0   184 8484 13386 24 22 53  0  0  0
 5  0      0 158976  62724 1783908    0    0   128   108 10234 16611 25 24 51  1  0  0
 0  0      0 174852  62732 1783908    0    0     0    88 6426 9767  8  7 84  1  0  0
 1  0      0 191220  62748 1783888    0    0     0   132 9558 15023 26 22 52  1  0  0
 4  0      0 158712  62748 1783872    0    0     0    56 9787 15913 23 18 58  1  0  0
 1  0      0 176512  62772 1783884    0    0     0   200 6164 8659  8 14 77  1  0  0
 1  0      0 163920  62780 1783888    0    0     0   100 9232 15732 26 21 53  1  0  0
 3  0      0 151064  62788 1783892    0    0     0    80 7284 11465 19 15 66  1  0  0
 0  0      0 175384  62796 1784024    0    0   128    84 6348 9503 10 14 76  1  0  0
 0  0      0 177136  62804 1784012    0    0     0   112 9487 14559 22 21 56  1  0  0
 4  0      0 161764  62828 1784028    0    0     0   224 7912 12366 20 20 60  1  0  0
 0  0      0 193044  62836 1784028    0    0     0    84 6378 9363  7 11 81  1  0  0
 0  0      0 165828  62844 1784040    0    0     0   108 8701 13896 23 17 58  1  0  0
 4  0      0 139572  62852 1784040    0    0     0   100 7475 11799 25 18 57  1  0  0
 0  0      0 185648  62860 1784048    0    0     0    96 8708 13297  9 14 76  1  0  0
 2  0      0 178396  62908 1784140    0    0     0   256 8574 13732 24 22 54  1  0  0
 3  0      0 127240  62916 1784144    0    0     0   152 10091 16198 23 19 56  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 155528  62924 1784184    0    0     0   100 5497 8258  6  9 84  1  0  0
 0  0      0 174104  62924 1784184    0    0     0    56 8242 12792 22 19 58  1  0  0
 2  0      0 137564  62940 1784196    0    0     0   132 7725 12199 21 19 59  1  0  0
 1  0      0 161584  62964 1784176    0    0     0   112 6359 9204  8 12 80  1  0  0
 1  0      0 172036  62964 1784304    0    0   128    76 8967 14444 23 20 57  1  0  0
 3  0      0 140032  62980 1784292    0    0     0   128 8918 14134 23 16 61  1  0  0
 0  0      0 162528  62988 1784316    0    0     0   100 6461 8516 24 11 65  1  0  0
 0  0      0 166132  62996 1784312    0    0     0    60 11023 17193 24 22 53  1  0  0
 1  0      0 165232  63020 1784328    0    0     0   180 9263 14366 22 21 56  1  0  0
 7  0      0 165232  63028 1784336    0    0     0   100 7020 10356  8 10 81  1  0  0
 0  0      0 173852  63036 1784340    0    0     0    88 8019 13043 21 14 60  5  0  0
 1  0      0 173212  63044 1784344    0    0     0    76 8340 13322 23 20 53  4  0  0
 5  2      0 175048  63052 1784352    0    0     0    72 6102 8618  8 11 69 12  0  0
 1  0      0 166676  63068 1784316    0    0     0   136 7943 12617 21 18 54  6  0  0
 0  0      0 175784  63076 1784324    0    0     0   100 9218 15882 25 25 50  1  0  0
 2  0      0 170064  63092 1784332    0    0     0   116 5602 8362  7  8 84  1  0  0
 0  0      0 173760  63092 1784300    0    0     0    48 8679 13943 23 18 58  1  0  0
 1  0      0 169728  63108 1784312    0    0     0   300 9110 15762 26 22 47  5  0  0
 1  0      0 169880  63420 1784596    0    0   552   120 5766 7493  9 13 77  1  0  0
 2  0      0 157912  63436 1784612    0    0     0   208 9177 15123 25 21 53  1  0  0
 0  0      0 165260  63444 1784616    0    0     0    68 8461 13256 22 18 59  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 165740  63452 1784624    0    0     0    96 5856 8324  7 10 82  1  0  0
 2  0      0 163336  63460 1784628    0    0     0    72 8489 12894 24 20 55  1  0  0
 0  0      0 162328  63480 1784644    0    0     0   144 8631 13655 25 22 53  0  0  0
 3  0      0 163084  63488 1784648    0    0     0   308 7998 11456 14 16 65  5  0  0
 0  0      0 162976  63496 1784668    0    0     0    60 8554 13060 23 18 58  1  0  0
 0  1      0 164924  63496 1784672    0    0     0    40 8768 13757 23 21 56  1  0  0
 4  0      0 164168  63512 1784668    0    0     0   132 6033 8482  8 13 78  1  0  0
 0  0      0 166636  63528 1784684    0    0     0   144 9251 16014 24 20 55  1  0  0
 1  0      0 133080  63536 1784728    0    0     0   144 11322 18510 27 23 49  1  0  0
 1  0      0 148188  63552 1784736    0    0     0   124 5092 7358  5  7 87  1  0  0
 0  1      0 143064  63552 1784760    0    0     0    48 8360 13101 23 21 55  1  0  0
14  0      0 115084  63568 1784768    0    0     0   116 8090 13188 25 21 53  2  0  0
 1  0      0 150116  63584 1784772    0    0     0   140 6267 9012  8 11 80  1  0  0
 2  0      0 158236  63600 1784780    0    0     0   136 9530 16492 35 29 36  0  0  0
 2  0      0 131524  63600 1784784    0    0     0   148 7790 12152 18 13 66  3  0  0
 0  0      0 161440  63616 1784792    0    0     0   136 6834 10278 11 14 74  1  0  0
 2  1      0 159652  63624 1784796    0    0     0   120 9141 13968 23 22 54  1  0  0
 7  0      0 130596  63656 1786452    0    0    40  2184 11603 19145 29 25 43  3  0  0
 1  0      0 144480  63664 1786440    0    0     0   124 7980 11595 16 16 68  1  0  0
 0  0      0 164340  63664 1786444    0    0     0    76 8374 12922 22 18 59  1  0  0
11  0      0 148164  63672 1786448    0    0    48    48 9072 14437 31 17 51  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 142348  63672 1786500    0    0     0    96 8325 12914 66 25 10  0  0  0
 7  0      0 121284  63688 1786504    0    0     0   276 7889 12348 32 18 46  4  0  0
 1  0      0 112248  56392 1772824    0    0     0   168 9851 18157 46 33 21  0  0  0
 7  0      0 129540  55556 1745236    0    0     0    24 8829 13535 26 20 53  0  0  0
 0  0      0 148864  55564 1745100    0    0     0   136 7302 10549 12 12 74  1  0  0
 2  0      0 147200  55564 1745100    0    0     0    48 10497 15920 26 22 51  1  0  0
 6  0      0 129452  52760 1731228    0    0     0   200 10494 16692 26 22 51  1  0  0
 0  0      0 162340  52768 1731416    0    0   180    84 8212 12199 10 12 76  2  0  0
 0  0      0 149156  52768 1731412    0    0     0    92 10219 16613 35 24 41  1  0  0
 5  0      0 122960  52784 1731472    0    0     0   112 8278 12368 23 21 56  1  0  0
 0  0      0 153084  52800 1731484    0    0     0   184 7604 10483 13 19 67  2  0  0
 0  0      0 134016  52808 1731816    0    0   332    88 9606 14901 22 19 53  6  0  0
 7  0      0 109728  52816 1732252    0    0   432   188 9379 14062 23 21 55  2  0  0
 2  0      0 146812  52816 1732252    0    0     0    24 6195 9213  7  8 85  0  0  0
 2  0      0 150960  52840 1732260    0    0     0   320 9218 14805 26 21 51  2  0  0
 4  0      0 114504  52848 1732264    0    0     0    52 7712 12510 20 20 60  0  0  0
 0  0      0 161480  52856 1732272    0    0     0   152 8957 13716 11 14 73  2  0  0
 0  0      0 164568  52856 1732272    0    0     0   120 9830 17137 26 24 49  1  0  0
 2  0      0 133028  52864 1732276    0    0     0   116 7170 10808 17 11 71  1  0  0
 1  0      0 134304  52872 1732276    0    0     0    56 6391 9596 11 12 76  0  0  0
 0  0      0 133136  52880 1732280    0    0     0   108 8638 13381 25 23 52  1  0  0
