procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 240956  83476 2123924    0    0     0  1400 9582 11488 10 13 70  7  0  0
 2  0      0 224364  83488 2123984    0    0     0   268 7960 9693 14 10 75  1  0  0
 0  0      0 177240  83496 2123992    0    0     0   260 5763 7710 13  8 78  1  0  0
 1  0      0 175704  83496 2123996    0    0     0     0 5663 7415 13  8 79  0  0  0
 1  0      0 180240  83504 2124004    0    0     0   252 6962 9639 16  7 76  1  0  0
 0  0      0 180240  83504 2124004    0    0     0    28 6669 8676 16  7 77  0  0  0
 0  0      0 198324  83520 2124016    0    0     0   240 5976 7512 15  7 77  1  0  0
 1  0      0 209480  83520 2124016    0    0     0   296 6661 9072 16  7 76  0  0  0
 1  0      0 212812  83528 2124024    0    0     0   260 7848 11137 17 10 63 10  0  0
 3  0      0 216308  83528 2124024    0    0     0    72 6485 8600 16  7 75  1  0  0
 0  0      0 223100  83532 2124028    0    0     0   208 6640 8684 20  6 71  3  0  0
 1  0      0 226076  83536 2124036    0    0     0   176 6187 8165 17  7 74  2  0  0
 0  0      0 228628  83540 2124040    0    0     0   196 7328 10243 17  7 73  3  0  0
 5  0      0 227876  83540 2124040    0    0     0   196 5615 7054 18  6 75  1  0  0
 0  0      0 240200  83544 2124056    0    0     0   244 6802 8637 27  6 61  5  0  0
 1  0      0 240568  83544 2124072    0    0     0    20 5730 7525 14  6 79  1  0  0
 0  0      0 241020  83556 2124064    0    0     0   288 5510 7971  5  6 85  4  0  0
 0  0      0 244508  83556 2124076    0    0     0     0 5703 8538  6  5 88  0  0  0
 0  0      0 247856  83556 2124080    0    0     0   148 7249 11170  5  8 85  2  0  0
 0  0      0 248744  83556 2124080    0    0     0    56 4440 6562  5  5 89  1  0  0
 0  0      0 251264  83568 2124096    0    0     0   304 5637 8401  5  5 86  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 254752  83568 2124100    0    0     4   264 5932 8474  6  7 86  2  0  0
 0  0      0 256200  83572 2124108    0    0     0   212 5532 8242  4  4 89  2  0  0
 1  0      0 262256  83572 2124116    0    0     0    24 4383 6656  4  3 93  0  0  0
 0  1      0 265504  83572 2124128    0    0     0   240 5408 7765  6  5 89  1  0  0
 0  0      0 264280  83572 2124128    0    0     0    24 4848 6880  6  5 89  0  0  0
 0  0      0 264040  83576 2124144    0    0     0   296 5311 7558  6  5 88  1  0  0
 0  0      0 263788  83576 2124144    0    0     0     8 6816 10798  6  7 87  0  0  0
 0  0      0 263032  83576 2124152    0    0     0   176 6972 10760  6  6 85  3  0  0
 1  0      0 263032  83576 2124152    0    0     0    72 5571 8202  5  6 88  1  0  0
 1  0      0 262780  83576 2124156    0    0     0   208 5242 7702  5  5 87  3  0  0
 0  0      0 262780  83576 2124176    0    0     0   184 5427 8011  5  5 86  4  0  0
 0  0      0 262780  83588 2124164    0    0     0   260 5139 7628  5  4 89  1  0  0
 3  0      0 262780  83592 2124208    0    0     0    84 5054 7395  5  4 91  0  0  0
 1  0      0 262780  83592 2124224    0    0     0   232 5981 8769  6  5 88  1  0  0
 1  0      0 262780  83592 2124224    0    0     0    44 4120 6138  4  5 92  0  0  0
 0  0      0 262780  83592 2124232    0    0     0   180 4859 7158  5  4 91  1  0  0
 0  0      0 262540  83592 2124232    0    0     0    48 5610 8351  6  5 89  0  0  0
 0  0      0 262740  83592 2124232    0    0     0   124 6768 10460  5  7 88  1  0  0
 0  0      0 262792  83592 2124240    0    0     0   124 4831 7030  5  5 89  1  0  0
 0  0      0 262792  83592 2124252    0    0     0   192 4698 6828  5  4 90  1  0  0
 0  0      0 262620  83592 2124276    0    0     0   200 6515 9745  6  6 88  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 262620  83596 2124284    0    0     0   116 5645 8701  5  5 90  0  0  0
 1  1      0 262620  83596 2124284    0    0     0   156 4750 7059  4  4 73 20  0  0
 1  1      0 262620  83596 2124304    0    0     0   180 5262 7697  6  5 82  7  0  0
 4  0      0 262620  83600 2124308    0    0     0   100 5046 7581  4  5 89  2  0  0
 0  0      0 262620  83600 2124308    0    0     0   124 4134 5971  4  4 91  2  0  0
 0  0      0 262620  83604 2124320    0    0     0    92 5561 8497  5  5 88  2  0  0
 0  1      0 262620  83604 2124324    0    0     0    52 5933 9154  5  7 88  1  0  0
 0  0      0 262620  83604 2124328    0    0     0   312 5152 7450  5  6 86  4  0  0
 1  0      0 262620  83604 2124336    0    0     0   156 4829 7234  5  4 91  0  0  0
 0  0      0 262620  83604 2124340    0    0     0   144 5657 8262  5  6 88  1  0  0
 1  0      0 262620  83604 2124344    0    0     0   124 4763 6976  4  5 91  0  0  0
 1  0      0 262620  83608 2124352    0    0     0   160 5498 8071  6  5 89  1  0  0
 2  0      0 262620  83608 2124356    0    0     0    84 4971 7228  5  5 90  0  0  0
 0  0      0 262620  83608 2124380    0    0     0   144 4535 6404  5  6 89  0  0  0
 6  0      0 262620  83608 2124384    0    0     0   124 4121 6034  4  4 92  1  0  0
 1  0      0 262620  83608 2124388    0    0     0    92 7669 11710  9 10 81  0  0  0
